Type,State,,Total,Percent
State,Andhra Pradesh,,86470612,79.45
Union Territory,Andaman and Nicobar Islands,,659370,80.38
State,Arunachal Pradesh,,1638956,47.34
State,Assam,,43427730,56.38
State,Bihar,,120877585,43.52
Union Territory,Chandigarh,,2040159,73.72
State,Chattisgarh,,37070055,57.69
Union Territory,Dadra and Nagar Haveli,,782323,54.97
Union Territory,Daman and Diu,,580013,64.72
Union Territory,Delhi,,31558837,67.18
State,Goa,,2649323,78.62
State,Gujarat,,103402668,70.57
State,Haryana,,41246994,61.50
State,Himachal Pradesh,,12424470,80.10
Union Territory,Jammu and Kashmir,,21582425,78.60
State,Jharkhand,,37185770,38.15
State,Karnataka,,101285953,71.66
State,Kerala,,52748667,66.82
Union Territory,Ladakh,,445602,63.30
Union Territory,Lakshadweep,,119084,83.93
State,Madhya Pradesh,,113955483,65.16
State,Maharashtra,,156522481,54.27
State,Manipur,,2729084,36.38
State,Meghalaya,,2365338,29.63
State,Mizoram,,1499074,53.48
State,Nagaland,,1552012,29.91
State,Odisha,,61457789,60.87
Union Territory,Puducherry,,1596840,41.50
State,Punjab,,39508415,54.20
State,Rajasthan,,99283334,55.62
State,Sikkim,,1109483,76.25
State,Tamil Nadu,,99315674,56.11
State,Telangana,,58807488,72.67
State,Tripura,,5116307,56.10
State,Uttar Pradesh,,291871874,53.94
State,Uttarakhand,,16921563,69.66
State,West Bengal,,131587578,60.95
